Client_ID,Applied,Approved,Total_Tradelines_6m_In,Total_Tradelines_1y_In,Total_Tradelines_2y_In,Max_Trade_3m_Out,Total_Enquiry_6m_In,Total_Enquiry_1y_In,Total_Enquiry_2y_In,Target,Approval_Rate,Enquiry_Intensity,Tradeline_Growth,Debt_Pressure,Behavioral_Risk_Score,Risk_Segment
100000,3,0,11.0,24,35,14288,6.0,15.0,33,0,0.0,0.4,2.25,1190.6666666666667,0.31906353583465646,Low
100001,4,0,19.0,19,21,13057,13.0,22.0,25,0,0.0,0.5909090909090909,13.75,652.85,0.5334337926773375,High
100002,4,3,2.0,17,32,17242,1.0,15.0,26,1,0.75,0.06666666666666667,-6.0,5747.333333333333,0.1695229589705022,Low
100003,3,0,9.0,15,32,10156,10.0,10.0,10,0,0.0,1.0,1.0,1015.6,0.4987766009303362,High
100004,3,1,11.0,18,29,15061,14.0,14.0,14,1,0.3333333333333333,1.0,3.75,1255.0833333333333,0.5409734408512298,High
100005,3,3,0.0,17,17,17666,3.0,17.0,17,1,1.0,0.17647058823529413,-4.25,17666.0,0.4296220447734538,Medium
100006,0,0,1.0,29,32,7521,0.0,7.0,14,0,0.0,0.0,-7.0,3760.5,0.1002066446617086,Low
100007,4,1,10.0,22,39,14915,2.0,21.0,34,1,0.25,0.09523809523809523,0.25,1355.909090909091,0.1924600913695925,Low
100008,2,2,16.0,22,22,2085,8.0,8.0,10,1,1.0,1.0,10.5,122.6470588235294,0.6157974564857279,High
100009,0,0,14.0,15,20,14151,7.0,18.0,30,0,0.0,0.3888888888888889,9.0,943.4,0.4049773567124407,Medium
100010,4,2,15.0,22,23,8729,13.0,20.0,20,1,0.5,0.65,9.25,545.5625,0.48883770647057184,High
100011,4,4,9.0,20,20,1786,10.0,19.0,19,1,1.0,0.5263157894736842,4.0,178.6,0.36856006246710615,Medium
100012,1,1,12.0,21,21,1741,8.0,9.0,13,1,1.0,0.8888888888888888,6.75,133.92307692307693,0.5268655379930135,High
100014,0,0,12.0,29,29,1122,3.0,3.0,9,0,0.0,1.0,4.75,86.3076923076923,0.5353290191188161,High
100015,0,0,11.0,23,23,8793,4.0,8.0,25,0,0.0,0.5,5.25,732.75,0.3864105456672516,Medium
100016,1,0,14.0,20,29,9808,10.0,16.0,31,0,0.0,0.625,6.75,653.8666666666667,0.4475921979889139,Medium
100017,2,2,10.0,14,32,12145,8.0,22.0,22,1,1.0,0.36363636363636365,2.0,1104.090909090909,0.30202319320049326,Low
100018,3,0,14.0,26,26,17604,7.0,11.0,20,0,0.0,0.6363636363636364,7.5,1173.6,0.4704828524654922,High
100019,2,0,9.0,23,33,17062,11.0,15.0,30,0,0.0,0.7333333333333333,0.75,1706.2,0.4179572296036322,Medium
100020,1,0,15.0,15,24,4723,3.0,12.0,13,0,0.0,0.25,9.0,295.1875,0.3478477270828111,Medium
100021,3,3,10.0,26,26,14676,12.0,19.0,28,1,1.0,0.631578947368421,3.5,1334.1818181818182,0.41601614451037533,Medium
100022,0,0,1.0,18,27,11977,5.0,17.0,17,0,0.0,0.29411764705882354,-5.75,5988.5,0.2528427030543144,Low
100023,1,1,10.0,10,37,6134,11.0,21.0,21,1,1.0,0.5238095238095238,0.75,557.6363636363636,0.32892044482355337,Medium
100024,1,0,15.0,17,17,14358,6.0,18.0,29,0,0.0,0.3333333333333333,10.75,897.375,0.40999519511991306,Medium
100025,3,3,0.0,7,18,4756,14.0,14.0,17,1,1.0,1.0,-4.5,4756.0,0.4848996197877497,High
100026,0,0,17.0,26,28,3828,10.0,21.0,21,0,0.0,0.47619047619047616,10.0,212.66666666666666,0.43575430151169686,Medium
100027,3,2,10.0,22,22,15080,1.0,17.0,27,1,0.6666666666666666,0.058823529411764705,4.5,1370.909090909091,0.239600369934432,Low
